Title,Creator,Author(s),Publisher,Publication Date,Republication Date,Volume,URL,Page Count,Topics,Sessions
Proceedings of the Seventh Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Department of Agriculture,1894,1958,7,https://archive.org/details/proceedingsofann7189unse/page/n11/mode/2up,190,,
Proceedings of the Fourteenth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1901,1958,14,https://archive.org/details/proceedingsofann1419unse/mode/2up,154,,
Proceedings of the Fifteenth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1902,,15,https://hdl.handle.net/2027/wu.89031381148,,,
Proceedings of the Eighteenth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1905,1958,18,https://archive.org/details/proceedingsofann1820unse/page/n9/mode/2up,176,,
Proceedings of the Nineteenth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1906,1958,19,https://archive.org/details/proceedingsofann1820unse/page/n178/mode/1up,177,,
Proceedings of the Twentieth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1907,1958,20,https://archive.org/details/proceedingsofann1820unse/page/n338/mode/1up,203,,
Proceedings of the Twenty-First Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1908,1958,21,https://archive.org/details/proceedingsofann2123unse/page/n7/mode/2up,235,,
Proceedings of the Twenty-Second Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1909,1958,22,https://archive.org/details/proceedingsofann2123unse/page/241/mode/1up,253,,
Proceedings of the Twenty-Third Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1910,1958,23,https://archive.org/details/proceedingsofann2123unse/page/n496/mode/1up,213,,
Proceedings of the Twenty-Fourth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1911,1958,24,https://archive.org/details/proceedingsofann2419unse/page/n3/mode/2up,230,,
Proceedings of the Twenty-Fifth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1912,,25,https://hdl.handle.net/2027/uc1.31175030098290,,,
Proceedings of the Twenty-Sixth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1913,1958,26,https://archive.org/details/proceedingsofann2619unse,240,,
Proceedings of the Twenty-Seventh Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1914,1958,27,https://archive.org/details/proceedingsofann2719unse,256,,
Proceedings of the Twenty-Eighth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1915,1958,28,https://archive.org/details/proceedingsofann2819unse/page/n1/mode/2up,248,,
Proceedings of the Thirtieth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1916,1958,30,https://archive.org/details/proceedingsofann3019unse,184,,
Proceedings of the Thirty-Fourth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1921,1958,34,https://archive.org/details/proceedingsofann3419unse,230,,
Proceedings of the Thirty-Fifth Annual Meeting of the Florida State Horticultural Society,Florida State Horticultural Society,,Florida State Horticultural Society,1922,1958,35,https://archive.org/details/proceedingsofann3519unse,218,,